Institution,Date,Region,Capital_Adequacy_Ratio,Credit_Risk,Market_Risk,Operational_Risk,Total_Risk,Compliance_Status,Risk_Grade
Toad Savings,2021-09-30,North,14.65,54.01,49.64,49.69,153.34,Compliant,High
Toad Savings,2021-12-31,North,14.9,54.07,50.25,49.72,154.04,Compliant,Moderate
Toad Savings,2022-03-31,North,15.45,54.24,50.77,53.56,158.57,Non-Compliant,Low
Toad Savings,2022-06-30,North,15.53,54.4,51.0,53.04,158.44,Non-Compliant,Low
Toad Savings,2022-09-30,North,16.05,54.44,48.1,52.73,155.27,Non-Compliant,Moderate
Toad Savings,2022-12-31,North,16.42,57.66,48.13,52.94,158.73,Compliant,Moderate
Toad Savings,2023-03-31,North,16.47,58.05,48.63,48.88,155.56,Compliant,High
Toad Savings,2023-06-30,North,15.33,58.44,49.39,49.49,157.32,Compliant,Moderate
Toad Savings,2023-09-30,North,15.61,58.93,49.7,49.64,158.27,Non-Compliant,Moderate
Toad Savings,2023-12-31,North,16.25,59.1,50.05,49.9,159.05,Non-Compliant,Low
Yoshi Capital,2019-03-31,South,11.41,51.98,51.0,50.16,153.14,Compliant,Low
Yoshi Capital,2019-06-30,South,11.4,51.86,49.28,50.41,151.55,Non-Compliant,Moderate
Yoshi Capital,2019-09-30,South,11.28,53.45,48.31,50.19,151.95,Compliant,Low
Yoshi Capital,2019-12-31,South,11.92,55.99,42.21,50.26,148.46,Compliant,Moderate
Yoshi Capital,2020-03-31,South,12.35,54.64,44.64,49.94,149.22,Compliant,Moderate
Yoshi Capital,2020-06-30,South,12.56,52.44,44.04,49.75,146.23,Non-Compliant,Low
Yoshi Capital,2020-09-30,South,11.5,51.58,42.52,50.06,144.16,Compliant,Critical
Yoshi Capital,2020-12-31,South,10.48,49.14,43.3,50.35,142.79,Compliant,Low
Yoshi Capital,2021-03-31,South,10.32,49.37,45.5,50.47,145.34,Compliant,Low
Yoshi Capital,2021-06-30,South,10.46,48.28,45.3,50.14,143.72,Non-Compliant,Low
Yoshi Capital,2021-09-30,South,11.25,50.68,43.24,50.04,143.96,Non-Compliant,High
Yoshi Capital,2021-12-31,South,11.82,52.67,41.52,50.22,144.41,Non-Compliant,High
Yoshi Capital,2022-03-31,South,13.15,49.51,42.51,49.88,141.9,Non-Compliant,Moderate
Yoshi Capital,2022-06-30,South,13.1,49.71,42.6,50.03,142.34,Non-Compliant,Low
Yoshi Capital,2022-09-30,South,15.15,51.8,40.33,50.31,142.44,Non-Compliant,Low
Yoshi Capital,2022-12-31,South,13.12,50.72,38.07,50.3,139.09,Compliant,Critical
Yoshi Capital,2023-03-31,South,15.08,50.0,41.66,50.56,142.22,Compliant,Low
Yoshi Capital,2023-06-30,South,15.41,50.97,44.57,50.7,146.24,Non-Compliant,Moderate
Yoshi Capital,2023-09-30,South,13.08,54.74,48.43,50.51,153.68,Non-Compliant,High
Yoshi Capital,2023-12-31,South,12.02,54.08,47.6,50.75,152.43,Non-Compliant,Low
Koopa Investments,2019-03-31,East,11.77,49.86,49.86,50.17,149.89,Non-Compliant,Moderate
Koopa Investments,2019-06-30,East,11.48,49.77,49.7,50.34,149.81,Non-Compliant,Low
Koopa Investments,2019-09-30,East,11.29,49.3,48.61,50.21,148.12,Non-Compliant,Moderate
Koopa Investments,2019-12-31,East,11.25,48.98,48.36,49.87,147.21,Non-Compliant,High
Koopa Investments,2020-03-31,East,11.04,48.83,48.21,49.91,146.95,Non-Compliant,Moderate
Koopa Investments,2020-06-30,East,10.94,48.62,47.78,49.87,146.27,Non-Compliant,Moderate
Koopa Investments,2020-09-30,East,10.91,48.5,47.75,49.9,146.15,Non-Compliant,Moderate
Koopa Investments,2020-12-31,East,10.8,48.47,47.68,49.56,145.71,Compliant,High
Koopa Investments,2021-03-31,East,10.78,48.28,47.19,49.36,144.83,Non-Compliant,Moderate
Koopa Investments,2021-06-30,East,10.48,48.04,46.94,49.66,144.64,Compliant,Moderate
Koopa Investments,2021-09-30,East,10.26,47.94,46.58,50.04,144.56,Non-Compliant,Low
Koopa Investments,2021-12-31,East,5.25,47.55,46.57,49.78,143.9,Compliant,Moderate
Koopa Investments,2022-03-31,East,5.14,47.13,44.81,49.91,141.85,Non-Compliant,High
Koopa Investments,2022-06-30,East,4.91,46.81,43.75,49.95,140.51,Compliant,Low
Koopa Investments,2022-09-30,East,4.77,46.78,43.68,49.74,140.2,Non-Compliant,Low
Koopa Investments,2022-12-31,East,4.47,46.47,43.33,50.12,139.92,Non-Compliant,Low
Koopa Investments,2023-03-31,East,4.33,46.23,43.22,49.88,139.33,Non-Compliant,Low
Koopa Investments,2023-06-30,East,4.09,46.15,43.16,47.11,136.42,Non-Compliant,Low
Koopa Investments,2023-09-30,East,4.02,45.93,47.17,47.08,140.18,Compliant,Low
Koopa Investments,2023-12-31,East,3.81,46.5,47.13,47.26,140.89,Compliant,Low
Wario Holdings,2019-03-31,West,12.22,49.54,49.72,50.29,149.55,Non-Compliant,Moderate
Wario Holdings,2019-06-30,West,12.23,49.49,49.61,48.69,147.79,Compliant,Low
Wario Holdings,2019-09-30,West,12.29,49.31,49.22,48.59,147.12,Non-Compliant,Low
Wario Holdings,2019-12-31,West,12.22,48.85,54.49,48.65,151.99,Non-Compliant,High
Wario Holdings,2020-03-31,West,12.08,49.34,54.39,48.74,152.47,Compliant,Low
Wario Holdings,2020-06-30,West,11.97,48.84,54.68,48.99,152.51,Compliant,Moderate
Wario Holdings,2020-09-30,West,11.75,48.98,54.92,46.31,150.21,Compliant,Low
Wario Holdings,2020-12-31,West,11.72,48.93,54.82,45.92,149.67,Non-Compliant,High
Wario Holdings,2021-03-31,West,11.47,48.92,54.99,46.24,150.15,Non-Compliant,Moderate
Wario Holdings,2021-06-30,West,11.48,46.64,55.25,46.58,148.47,Non-Compliant,Low
Wario Holdings,2021-09-30,West,11.68,46.85,55.18,46.93,148.96,Non-Compliant,Low
Wario Holdings,2021-12-31,West,11.53,47.02,54.8,46.61,148.43,Compliant,High
Wario Holdings,2022-03-31,West,11.65,46.61,54.31,46.41,147.33,Non-Compliant,Moderate
Wario Holdings,2022-06-30,West,13.81,46.56,54.18,46.26,147.0,Compliant,Low
Wario Holdings,2022-09-30,West,13.91,46.24,54.37,46.29,146.9,Compliant,Low
Wario Holdings,2022-12-31,West,14.12,46.57,54.32,46.38,147.27,Non-Compliant,High
Wario Holdings,2023-03-31,West,14.17,46.76,54.19,46.2,147.15,Non-Compliant,Moderate
Wario Holdings,2023-06-30,West,13.99,46.87,53.77,45.89,146.53,Compliant,Low
Wario Holdings,2023-09-30,West,13.86,51.25,53.94,46.04,151.23,Non-Compliant,Low
Wario Holdings,2023-12-31,West,13.87,51.44,53.9,46.06,151.4,Compliant,Moderate
Donkey Kong Assets,2019-03-31,South,11.54,50.14,48.27,49.89,148.3,Compliant,Moderate
Donkey Kong Assets,2019-06-30,South,12.12,49.4,48.5,49.51,147.41,Compliant,Low
Donkey Kong Assets,2019-09-30,South,12.81,51.68,48.03,49.89,149.6,Compliant,Low
Donkey Kong Assets,2019-12-31,South,13.02,51.95,48.51,50.26,150.72,Compliant,Low
Donkey Kong Assets,2020-03-31,South,12.43,52.4,50.61,50.11,153.12,Non-Compliant,Low
Donkey Kong Assets,2020-06-30,South,12.66,54.78,53.17,50.06,158.01,Compliant,Moderate
Donkey Kong Assets,2020-09-30,South,13.93,55.81,51.6,50.17,157.58,Non-Compliant,Low
Donkey Kong Assets,2020-12-31,South,14.47,55.51,49.45,50.27,155.23,Non-Compliant,Low
Donkey Kong Assets,2021-03-31,South,14.26,57.0,48.76,49.99,155.75,Non-Compliant,Moderate
Donkey Kong Assets,2021-06-30,South,14.87,57.99,50.96,50.21,159.16,Compliant,Moderate
Donkey Kong Assets,2021-09-30,South,13.61,60.64,52.76,49.86,163.26,Non-Compliant,Low
Donkey Kong Assets,2021-12-31,South,14.42,59.99,50.08,49.51,159.58,Compliant,Low
Donkey Kong Assets,2022-03-31,South,13.56,63.24,47.92,49.89,161.05,Compliant,High
Donkey Kong Assets,2022-06-30,South,11.9,63.51,46.88,49.61,160.0,Compliant,Critical
Donkey Kong Assets,2022-09-30,South,10.61,63.66,47.87,49.45,160.98,Non-Compliant,Low
Donkey Kong Assets,2022-12-31,South,9.41,60.7,45.22,49.6,155.52,Non-Compliant,Low
Donkey Kong Assets,2023-03-31,South,7.43,57.95,48.35,49.61,155.91,Compliant,Low
Donkey Kong Assets,2023-06-30,South,5.35,60.09,49.16,49.86,159.11,Compliant,Low
Donkey Kong Assets,2023-09-30,South,4.02,56.47,46.62,49.71,152.8,Non-Compliant,Low
Donkey Kong Assets,2023-12-31,South,5.99,54.58,45.81,49.73,150.12,Compliant,Low
Daisy Bonds,2019-03-31,East,12.05,50.39,50.07,49.61,150.07,Non-Compliant,Moderate
Daisy Bonds,2019-06-30,East,12.28,50.49,50.51,49.79,150.79,Compliant,Low
Daisy Bonds,2019-09-30,East,12.4,50.55,50.66,49.47,150.68,Non-Compliant,Low
Daisy Bonds,2019-12-31,East,12.54,50.93,51.1,49.71,151.74,Non-Compliant,Moderate
Daisy Bonds,2020-03-31,East,12.81,55.63,51.56,49.75,156.94,Non-Compliant,Low
Daisy Bonds,2020-06-30,East,13.05,55.79,51.94,49.84,157.57,Non-Compliant,High
Daisy Bonds,2020-09-30,East,13.26,56.1,52.36,49.73,158.19,Compliant,Low
Daisy Bonds,2020-12-31,East,13.34,56.21,52.75,52.38,161.34,Compliant,Low
Daisy Bonds,2021-03-31,East,13.36,56.52,52.85,52.01,161.38,Non-Compliant,Low
Daisy Bonds,2021-06-30,East,13.5,56.85,53.34,51.77,161.96,Non-Compliant,Low
Daisy Bonds,2021-09-30,East,13.71,56.88,53.37,51.67,161.92,Non-Compliant,Critical
Daisy Bonds,2021-12-31,East,13.9,57.28,53.44,51.39,162.11,Compliant,Moderate
Daisy Bonds,2022-03-31,East,13.93,57.77,53.86,51.69,163.32,Non-Compliant,Moderate
Daisy Bonds,2022-06-30,East,13.98,58.07,54.11,51.58,163.76,Compliant,Low
Daisy Bonds,2022-09-30,East,14.14,58.48,54.48,51.76,164.72,Compliant,Moderate
Daisy Bonds,2022-12-31,East,14.16,58.55,54.78,51.83,165.16,Compliant,Low
Daisy Bonds,2023-03-31,East,14.38,59.01,54.94,51.76,165.71,Non-Compliant,Low
Daisy Bonds,2023-06-30,East,18.98,59.21,55.28,51.37,165.86,Non-Compliant,Moderate
Daisy Bonds,2023-09-30,East,19.2,59.43,55.61,51.25,166.29,Compliant,Moderate
Daisy Bonds,2023-12-31,East,19.3,59.9,55.7,50.93,166.53,Non-Compliant,Moderate
Shy Guy Securities,2019-03-31,West,11.87,49.96,49.72,50.0,149.68,Compliant,Moderate
Shy Guy Securities,2019-06-30,West,11.63,49.82,49.65,50.12,149.59,Non-Compliant,Low
Shy Guy Securities,2019-09-30,West,11.5,49.37,51.36,50.03,150.76,Non-Compliant,Critical
Shy Guy Securities,2019-12-31,West,11.38,49.23,50.67,50.4,150.3,Compliant,Low
Shy Guy Securities,2020-03-31,West,11.2,49.0,50.42,50.42,149.84,Compliant,Moderate
Shy Guy Securities,2020-06-30,West,11.08,48.95,49.95,50.65,149.55,Compliant,Moderate
Shy Guy Securities,2020-09-30,West,14.38,52.99,49.61,50.76,153.36,Compliant,High
Shy Guy Securities,2020-12-31,West,14.29,52.91,49.4,50.68,152.99,Non-Compliant,Low
Shy Guy Securities,2021-03-31,West,14.2,52.7,49.25,50.7,152.65,Compliant,Critical
Shy Guy Securities,2021-06-30,West,14.11,53.89,48.84,50.86,153.59,Non-Compliant,High
Shy Guy Securities,2021-09-30,West,13.85,53.41,48.81,50.71,152.93,Non-Compliant,High
Shy Guy Securities,2021-12-31,West,13.79,52.13,48.7,51.04,151.87,Non-Compliant,Moderate
Shy Guy Securities,2022-03-31,West,13.64,51.99,48.61,51.43,152.03,Non-Compliant,Critical
Shy Guy Securities,2022-06-30,West,13.59,51.5,48.23,51.19,150.92,Non-Compliant,High
Shy Guy Securities,2022-09-30,West,13.37,51.17,48.12,51.5,150.79,Non-Compliant,Low
Shy Guy Securities,2022-12-31,West,13.24,50.88,47.67,51.22,149.77,Non-Compliant,Low
Shy Guy Securities,2023-03-31,West,13.0,50.39,47.55,51.32,149.26,Compliant,High
Shy Guy Securities,2023-06-30,West,12.82,50.21,47.06,51.62,148.89,Non-Compliant,Low
Shy Guy Securities,2023-09-30,West,12.59,50.13,46.67,51.63,148.43,Compliant,Low
Shy Guy Securities,2023-12-31,West,12.3,50.0,46.22,51.56,147.78,Non-Compliant,Low
Goomba Fund,2019-03-31,North,11.83,49.96,51.13,49.62,150.71,Compliant,Critical
Goomba Fund,2019-06-30,North,11.73,50.01,51.67,49.42,151.1,Compliant,Low
Goomba Fund,2019-09-30,North,11.91,50.54,55.01,49.27,154.82,Compliant,Low
Goomba Fund,2019-12-31,North,12.0,52.85,55.12,48.98,156.95,Non-Compliant,Low
Goomba Fund,2020-03-31,North,12.27,53.35,54.63,48.76,156.74,Compliant,Low
Goomba Fund,2020-06-30,North,12.68,53.8,54.84,43.85,152.49,Non-Compliant,Moderate
Goomba Fund,2020-09-30,North,12.35,54.32,55.33,39.63,149.28,Non-Compliant,Moderate
Goomba Fund,2020-12-31,North,12.19,59.35,55.35,39.45,154.15,Compliant,Low
Goomba Fund,2021-03-31,North,11.77,59.66,55.1,39.53,154.29,Non-Compliant,Low
Goomba Fund,2021-06-30,North,12.13,60.12,55.49,39.28,154.89,Compliant,Low
Goomba Fund,2021-09-30,North,12.48,60.66,56.05,39.15,155.86,Non-Compliant,High
Goomba Fund,2021-12-31,North,12.63,60.96,56.21,39.3,156.47,Non-Compliant,Low
Goomba Fund,2022-03-31,North,12.65,60.35,56.35,39.1,155.8,Compliant,Moderate
Goomba Fund,2022-06-30,North,10.35,59.59,55.94,39.61,155.14,Non-Compliant,Moderate
Goomba Fund,2022-09-30,North,10.54,59.27,55.31,39.89,154.47,Compliant,Moderate
Goomba Fund,2022-12-31,North,11.0,58.94,55.29,39.36,153.59,Compliant,Moderate
Goomba Fund,2023-03-31,North,11.37,63.38,56.04,39.2,158.62,Non-Compliant,Moderate
Goomba Fund,2023-06-30,North,11.05,63.98,56.46,39.07,159.51,Compliant,High
Goomba Fund,2023-09-30,North,11.28,64.15,54.24,39.4,157.79,Compliant,Low
Goomba Fund,2023-12-31,North,10.74,60.97,53.99,39.1,154.06,Compliant,Moderate
Lakitu Lending,2019-03-31,South,11.47,48.01,48.55,50.3,146.86,Non-Compliant,Moderate
Lakitu Lending,2019-06-30,South,10.78,48.61,48.73,50.02,147.36,Non-Compliant,High
Lakitu Lending,2019-09-30,South,9.35,46.64,50.27,50.41,147.32,Non-Compliant,Moderate
Lakitu Lending,2019-12-31,South,8.94,45.73,49.32,50.7,145.75,Non-Compliant,Critical
Lakitu Lending,2020-03-31,South,5.34,46.26,46.21,50.6,143.07,Compliant,Critical
Lakitu Lending,2020-06-30,South,5.48,44.79,45.02,50.36,140.17,Non-Compliant,Moderate
Lakitu Lending,2020-09-30,South,6.08,44.55,45.33,50.27,140.15,Compliant,Low
Lakitu Lending,2020-12-31,South,7.05,42.53,45.78,50.26,138.57,Non-Compliant,Low
Lakitu Lending,2021-03-31,South,6.84,39.79,45.46,50.55,135.8,Compliant,Low
Lakitu Lending,2021-06-30,South,6.12,42.58,45.39,50.48,138.45,Compliant,Moderate
Lakitu Lending,2021-09-30,South,7.1,38.6,48.45,50.69,137.74,Compliant,Low
Lakitu Lending,2021-12-31,South,8.17,38.99,49.24,51.06,139.29,Non-Compliant,Moderate
Lakitu Lending,2022-03-31,South,9.53,38.71,50.04,50.74,139.49,Non-Compliant,High
Lakitu Lending,2022-06-30,South,9.26,41.43,49.08,50.7,141.21,Compliant,High
Lakitu Lending,2022-09-30,South,9.6,44.62,49.38,51.01,145.01,Non-Compliant,Low
Lakitu Lending,2022-12-31,South,10.05,47.42,52.72,51.32,151.46,Compliant,Low
Lakitu Lending,2023-03-31,South,10.91,49.84,54.37,51.33,155.54,Non-Compliant,Low
Lakitu Lending,2023-06-30,South,9.31,48.23,57.18,51.44,156.85,Non-Compliant,Low
Lakitu Lending,2023-09-30,South,7.53,47.37,59.45,51.59,158.41,Non-Compliant,Low
Lakitu Lending,2023-12-31,South,6.73,46.09,61.8,51.74,159.63,Non-Compliant,Low
Waluigi Wealth,2019-03-31,West,11.76,49.72,49.52,49.65,148.89,Non-Compliant,Low
Waluigi Wealth,2019-06-30,West,11.72,49.64,49.04,49.66,148.34,Compliant,Low
Waluigi Wealth,2019-09-30,West,11.56,49.5,48.88,48.72,147.1,Compliant,Moderate
Waluigi Wealth,2019-12-31,West,11.53,49.35,48.49,44.83,142.67,Compliant,Low
Waluigi Wealth,2020-03-31,West,11.29,51.51,48.46,44.76,144.73,Non-Compliant,Low
Waluigi Wealth,2020-06-30,West,11.27,51.46,47.98,44.69,144.13,Non-Compliant,Low
Waluigi Wealth,2020-09-30,West,11.14,51.43,47.76,44.4,143.59,Non-Compliant,Moderate
Waluigi Wealth,2020-12-31,West,11.06,54.46,47.64,44.77,146.87,Non-Compliant,High
Waluigi Wealth,2021-03-31,West,10.82,54.45,50.13,44.92,149.5,Compliant,Moderate
Waluigi Wealth,2021-06-30,West,10.69,54.08,49.92,45.14,149.14,Non-Compliant,Moderate
Waluigi Wealth,2021-09-30,West,10.59,54.02,49.49,45.15,148.66,Compliant,Moderate
Waluigi Wealth,2021-12-31,West,10.51,53.88,49.16,47.55,150.59,Non-Compliant,Low
Waluigi Wealth,2022-03-31,West,10.22,53.71,48.72,47.8,150.23,Compliant,Moderate
Waluigi Wealth,2022-06-30,West,10.1,53.27,48.37,45.55,147.19,Compliant,Low
Waluigi Wealth,2022-09-30,West,10.06,52.81,48.22,45.76,146.79,Non-Compliant,High
Waluigi Wealth,2022-12-31,West,9.9,54.2,47.89,45.64,147.73,Compliant,Moderate
Waluigi Wealth,2023-03-31,West,9.72,53.95,47.72,45.24,146.91,Compliant,Critical
Waluigi Wealth,2023-06-30,West,9.69,53.63,47.52,45.36,146.51,Non-Compliant,Moderate
Waluigi Wealth,2023-09-30,West,9.61,53.61,47.41,49.62,150.64,Compliant,Low
Waluigi Wealth,2023-12-31,West,9.36,53.26,47.26,49.85,150.37,Compliant,Low
Boo Banking,2019-03-31,North,12.12,50.23,50.48,50.0,150.71,Non-Compliant,High
Boo Banking,2019-06-30,North,12.22,50.28,50.51,50.08,150.87,Compliant,Moderate
Boo Banking,2019-09-30,North,12.54,50.83,50.73,49.92,151.48,Compliant,Low
Boo Banking,2019-12-31,North,12.58,51.29,51.17,49.64,152.1,Compliant,Low
Boo Banking,2020-03-31,North,12.59,51.86,51.74,49.21,152.81,Compliant,Critical
Boo Banking,2020-06-30,North,12.78,52.19,51.97,49.22,153.38,Non-Compliant,Critical
Boo Banking,2020-09-30,North,13.21,52.68,52.13,49.55,154.36,Non-Compliant,Moderate
Boo Banking,2020-12-31,North,13.32,52.99,52.38,49.37,154.74,Non-Compliant,Moderate
Boo Banking,2021-03-31,North,13.65,53.17,52.55,49.68,155.4,Compliant,Low
Boo Banking,2021-06-30,North,13.8,53.64,53.19,49.26,156.09,Compliant,Moderate
Boo Banking,2021-09-30,North,14.04,54.05,53.56,49.31,156.92,Non-Compliant,Low
